134А,ШКОЛЬНАЯ УЛ. - АФОНСКАЯ УЛ.
187Ф,'Санкт- Петербург,ул. Костюшко - г. Пушкин, Вокзал'
84ШК,Ж.- Д.СТАНЦИЯ ПЕСОЧНАЯ - ПОС. НОВОСЕЛКИ
372,'Г. ПУШКИН, КРАСНОСЕЛЬСКОЕ ШОССЕ - Г. ПАВЛОВСК, САДОВАЯ УЛ. '
126 т,ст. метро Старая деревня -ст. метро Старая деревня
К-62,улица Кораблестроителей - Балтийский вокзал
К-10,станция метро "Василеостровская" - на пересечении пр. Просвещения и Выборгского шоссе
К-184,ст.метро "Проспект Ветеранов"-ул. Чекистов
К-278,ст. метро "Озерки" - вещевой рынок "Гражданский"
К-17,станция метро "Ладожская" - станция метро "Черная речка"
К-278А,ул. Академика Байкова - ж. -д. станция Ручьи
К-279,'Туристская ул., д. 11- Новоколомяжский пр., д. 13 '
К-186,Уральская ул. -Балтийский вокзал
К-281,ст. метро "Обухово" - ст. метро " Балтийская" 
К-78,станция метро "Проспект Ветеранов" - ж.-д. станция Сосновая Поляна 
К-25,станция метро "Владимирская" - Балканская площадь
К-79,станция метро "Пионерская" - пр. Королева
К-26,БКЗ "Октябрьский" - Бестужевская улица
К-81,станция метро "Проспект Ветеранов" - улица Политрука Пасечника
К-287,'ст.метро "Московская" - г. Пушкин, Красносельское шоссе, д. 1'
К-28, гостиница "Карелия" - гостиница "Карелия"
К-299,'ст. метро "Московская" - г. Павловск, Звериницкая ул.'
К-28к,ул. Коммуны - Финляндский вокзал
К-191,Финляндский вокзал-ул. Демьяна Бедного
К-83,станция метро "Улица Дыбенко" - ж.-д. станция Пискаревка
К-288,ст. метро "Пионерская" - на пересечении Гражданского пр. и Суздальского пр.
К-193,ст. метро "Старая Деревня"-ж.д. станция Ручьи
К-194,ст. метро "Московская-ст. метро "Волковская"
К-29,станция метро "Ломоносовская" - улица Солдата Корзуна
К-84,станция метро "Проспект Ветеранов" - станция метро "Проспект Ветеранов"
К-289,пл. Искусств - пр. Энергетиков
К-195,Сенная пл.-ул. Партизана Германа
К-85,станция метро "Удельная" - Глухарская улица
